Product,Description,Link
cesm_pop_output,"CESM ocean output (POP2 grid) for use as IC and OBC, including CESM-HR FOSI and CESM2 Large Ensemble (LENS2)",https://gdex.ucar.edu/datasets/d267000/
cesm_mom_output,"Native MOM6 output (full history/diagnostic files, or diag_table-extracted cross-section slices) for use as IC/OBC forcing - e.g. for nesting a child domain inside an outer/parent MOM6 run.",https://mom6.readthedocs.io/en/main/api/generated/pages/Diagnostics.html
cesm-ww3-jra,"Full 2D wave spectra E(f, theta) for WW3 open boundaries, read out of a JRA-forced global wave-only CESM/WW3 run's 6-hourly netCDF restarts on GLADE -- boundary waves driven by the same JRA winds as the regional case's own interior, with no network access or credentials required. The default database is the 1-degree `wi_jra.glo1p0.001` run (useful record from ~2018-12-01, after spin-up).",https://github.com/CROCODILE-CESM/CrocoDash
cice_restart,"Global CICE restart file, index-subset to a regional domain's bounding box for use as a cold-start initial condition.",https://escomp.github.io/CICE/versions/master/html/user_guide/ug_case_settings.html
tpxo,TPXO (TOPEX/POSEIDON Global Tidal Ocean I think) is a public tidal model dataset,https://www.tpxo.net/global
cesm inputdata,The CESM Input SVN repo holds all files CrocoDash exposes publicly themselves at the following repo link,https://svn-ccsm-inputdata.cgd.ucar.edu/trunk/inputdata/ocn/mom/croc
era5_wave_spectra,"ERA5's true 2D wave energy-density spectrum E(f, theta) (ECMWF param 251.140, wave stream) from Copernicus CDS's reanalysis-era5-complete dataset -- NOT the bulk/integrated wave stats (significant height, mean direction, mean period) available on reanalysis-era5-single-levels.",https://cds.climate.copernicus.eu/datasets/reanalysis-era5-complete
gebco,GEBCO (General Bathymetric Chart of the Ocean) is a public dataset of global ocean bathymetry,https://www.gebco.net/data_and_products/gridded_bathymetry_data/#global
glofas,	GLOFAS (Global Flood Awareness System) is a public river discharge/runoff Product,https://ewds.climate.copernicus.eu/datasets/cems-glofas-historical?tab=download
glorys,GLORYS (Global Ocean Physics Reanalysis) is a public dataset provided through the copernicus marine service.,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_PHY_001_030/description
reference_ocean,"Fast, deterministic synthetic ocean IC/OBC data (temperature, salinity, SSH, currents) for testing and demos -- no network or campaign-storage access required.",n/a
reference_ice,"Fast, deterministic synthetic CICE forcing (ice concentration/volume/surface temp and a small drift velocity) for testing and demos -- generates its own grid, no real CICE restart/grid file required. Exercises the CrocoDash regrid path only: it writes a single category (ncat=1) and five variables, where CICE needs ncat=5 plus the rest of the restart state (vsnon, trcrn, ...), so CICE cannot actually start from the file this produces. Use 'cice_restart' against a real global restart for a runnable case.",n/a
reference_waves,"Fast, deterministic synthetic WW3 boundary wave spectra (JONSWAP-shaped frequency spectrum, cosine-2s directional spreading) for testing and demos -- no CDS/network access required.",n/a
seawifs,SEAWIFS is a Chlorophyll Dataset for MOM6,https://oceandata.sci.gsfc.nasa.gov/getfile/SEASTAR_SEAWIFS_GAC.19980201_20100228.L3m.MC.CHL.chlor_a.9km.nc
srtm,SRTM15+ is a global 15 arc-second resolution bathymetry/topography dataset compiled from SRTM land topography and satellite-derived ocean bathymetry.,https://topex.ucsd.edu/WWW_html/srtm15_plus.html
